u_id,Battery_Cycle_No,charging_length,discharging_length,u_type
1502,108,134.0,8643.0,1
1503,330,878.0,7899.0,2
1513,321,847.0,7930.0,2
1514,557,4084.0,4693.0,3
1516,319,833.0,7944.0,2
1517,108,134.0,8643.0,1
1518,318,825.0,7952.0,2
1524,328,876.0,7901.0,2
1530,326,852.0,7925.0,2
1532,558,4124.0,4653.0,3
1539,323,850.0,7927.0,2
1540,557,4101.0,4676.0,3
1541,558,4111.0,4666.0,3
1546,557,4093.0,4684.0,3
1549,107,134.0,8643.0,1
1562,321,854.0,7923.0,2
1563,407,4767.0,4010.0,3
1564,555,4077.0,4700.0,3
1569,326,859.0,7918.0,2
1570,320,835.0,7942.0,2
1577,557,4061.0,4716.0,3
1578,555,4083.0,4694.0,3
1579,324,865.0,7912.0,2
1580,557,4086.0,4691.0,3
1589,558,4129.0,4648.0,3
1591,110,129.0,8648.0,1
1592,322,845.0,7932.0,2
1593,557,4091.0,4686.0,3
1594,324,851.0,7926.0,2
1595,109,134.0,8643.0,1
1596,554,4076.0,4701.0,3
1597,558,4093.0,4684.0,3
1598,326,858.0,7919.0,2
1601,558,4100.0,4677.0,3
1603,325,850.0,7927.0,2
1613,558,4083.0,4694.0,3
1618,108,133.0,8644.0,1
1620,326,863.0,7914.0,2
1622,111,133.0,8644.0,1
1624,111,134.0,8643.0,1
1625,555,4071.0,4706.0,3
1628,323,851.0,7926.0,2
1634,108,135.0,8642.0,1
1637,108,132.0,8645.0,1
1638,109,131.0,8646.0,1
1641,108,133.0,8644.0,1
1643,109,135.0,8642.0,1
1644,291,7483.0,1294.0,3
1645,556,4051.0,4726.0,3
1647,558,4084.0,4693.0,3
1654,557,4062.0,4715.0,3
1656,108,132.0,8645.0,1
1661,322,842.0,7935.0,2
1663,110,133.0,8644.0,1
1664,554,4045.0,4732.0,3
1666,109,135.0,8642.0,1
1670,110,132.0,8645.0,1
1676,109,135.0,8642.0,1
1677,107,134.0,8643.0,1
1678,553,4043.0,4734.0,3
1679,325,855.0,7922.0,2
1680,107,136.0,8641.0,1
1681,108,133.0,8644.0,1
1688,325,846.0,7931.0,2
1689,107,136.0,8641.0,1
1693,553,4057.0,4720.0,3
1706,317,823.0,7954.0,2
1711,326,862.0,7915.0,2
1713,312,802.0,7975.0,2
1714,109,129.0,8648.0,1
1719,324,860.0,7917.0,2
1720,111,135.0,8642.0,1
1731,327,866.0,7911.0,2
1737,558,4098.0,4679.0,3
1738,323,849.0,7928.0,2
1739,326,860.0,7917.0,2
1742,109,132.0,8645.0,1
1746,349,4771.0,4006.0,2
1747,557,4095.0,4682.0,3
1752,416,4582.0,4195.0,3
1758,109,132.0,8645.0,1
1759,556,4075.0,4702.0,3
1761,553,4038.0,4739.0,3
1763,487,4238.0,4539.0,3
1766,323,841.0,7936.0,2
1767,559,4125.0,4652.0,3
1774,108,132.0,8645.0,1
1775,110,133.0,8644.0,1
